"station","2012","2013","2014","2015","2019","2020","2021","2022","2023","2024"
"NP1",10,10,8,8,3,6,16,17,21,22
"NP2",9,11,8,8,2,8,,,1,
"NP3",,,,,,2,16,16,23,23
"NP4",,,,,,,4,,,
"NP5",,,,,,,4,11,17,12
"NP6",,,,,,,,4,,
"NP7",,,,,,,,5,7,11
