"station","1999","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"PP1",6,3,2,5,6,3,7,2,3,3,4,12,21,14,10,19
"PP2",6,2,,,,,,,,,,,,,,
"PP3",5,4,,,,,,,,,,2,15,15,14,21
"PP4",2,1,,,,,,,,,,,,,,
"PP6",,,,,,,,,,,,,,,7,16
"PP7",,,,,,,,,,,,,,,2,
"PP8",,,,,,,,,,,,,,,1,
