"station","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"PJ1",16,2,7,,13,12,15,21,15,7,4,5,5,6,2,2,2,1,,,3,9,,2,
"PJ2",13,7,12,14,6,3,9,15,7,6,3,2,6,3,,5,1,,,,,7,2,,
"PJ3",5,5,3,13,7,3,,8,6,4,6,4,1,2,5,3,1,4,,,4,,,,
"PJ4",5,,,,,,,,,2,,,,,,,,,,,,,,,1
"PJ5",,,,,1,,,,,,,,,,,,,,,,,,4,,
"PJ6",,,,,,5,3,,5,,13,13,11,5,7,4,3,6,1,3,5,17,7,,1
"PJ7",,,,,,,,,,,,,,,,,,,,,,,7,7,5
"PJ8",,,,,,,,,,,,,,,,,,,,,,,,,4
