,tempmean,tempmedian,tempmin,tempmax,tempdiff,depthmean,salinmean,salinmedian,salinmin,salinmax,file_list
03062023_PP1,5.115824635,5.11,3.42,6.52,-2.36,5.90651357,27.81549061,27.81,25.71,28.94,03062023_PP1.xlsx
03062023_PP6,5.13014553,5.24,3.46,6.29,-2.66,3.242286902,27.1570894,27.17,26.65,27.97,03062023_PP6.xlsx
03102023_NP1,5.810130208,5.81,4.42,6.95,-0.28,1.5821875,28.28309896,28.4,26.56,29.27,03102023_NP1.xlsx
03102023_NP3,6.397349081,6.52,5.03,7.48,-0.11,5.840026247,28.85217848,28.65,27.76,30.18,03102023_NP3.xlsx
03102023_PJ4,6.13617801,6.15,5.41,6.85,-0.31,3.582696335,27.40096859,27.445,25.9,28.33,03102023_PJ4.xlsx
03102023_PJ7,6.777041885,6.73,5.95,7.9,-0.38,1.83895288,27.75201571,27.775,25.39,28.84,03102023_PJ7.xlsx
03102023_PP1,5.956596859,6,4.35,7.83,-1.73,5.610732984,28.37413613,28.36,27.51,29.5,03102023_PP1.xlsx
03162023_NP3,6.864529307,7,5.24,7.83,1.53,5.90678508,28.58396092,28.91,26.14,30.08,03162023_NP3.xlsx
03162023_NP7,6.374684211,6.46,4.69,7.83,1.54,7.161982456,30.39889474,30.42,28.21,32.26,03162023_NP7.xlsx
03162023_PJ7,6.888143101,6.87,5.78,8.11,-0.93,1.767444634,28.12715503,28.53,24.21,29.53,03162023_PJ7.xlsx
03162023_PJ8,6.834205776,6.78,5.13,8.87,0.51,2.023357401,25.12238267,25.195,13.35,27.42,03162023_PJ8.xlsx
03162023_PP1,6.314135593,6.42,4.75,7.46,0.62,5.655084746,28.26047458,28.235,26.28,29.51,03162023_PP1.xlsx
03202023_NP1,6.530262467,6.59,4.9,8.19,-0.48,1.357007874,27.70616798,27.77,25.3,29.01,03202023_NP1.xlsx
03202023_NP3,7.267636364,7.35,5.95,8.47,-2.18,5.58987013,28.88872727,29.18,26.75,29.77,03202023_NP3.xlsx
03202023_NP7,6.522473684,6.42,5.4,7.76,-0.34,7.356184211,31.51692105,31.6,30.36,32.09,03202023_NP7.xlsx
03202023_PJ8,7.542832861,7.5,5.59,9.47,-1.73,2.292634561,23.78903683,24.94,10.61,26.2,03202023_PJ8.xlsx
03242023_NP1,7.069322917,7.02,5.27,8.81,-2.65,1.321666667,28.64653646,28.87,26.03,29.29,03242023_NP1.xlsx
03242023_NP3,9.059583333,9.17,6.45,10.36,0.34,5.497994792,28.46054688,28.465,3.14,29.84,03242023_NP3.xlsx
03242023_NP7,7.66671916,7.76,5.72,9.2,-0.85,6.945931759,30.82821522,30.84,29.6,31.99,03242023_NP7.xlsx
03242023_PJ8,8.919859155,8.81,6.57,12.39,-0.4,2.202507042,23.90197183,24.2,9.65,26.74,03242023_PJ8.xlsx
03272023_NP1,7.790466667,7.78,6.31,9.55,-1.28,1.314333333,28.21596667,28.315,26.98,29.47,03272023_NP1.xlsx
03272023_NP3,8.710580205,9.01,6.79,10.1,-1.97,5.526109215,28.87853242,28.85,27.9,29.81,03272023_NP3.xlsx
03272023_NP7,7.50003367,7.35,6.28,10.41,-2.86,7.165050505,31.22057239,31.4,28.15,32.07,03272023_NP7.xlsx
03272023_PJ8,8.828714286,8.87,7.53,10.8,-0.69,2.182892857,24.85253571,24.88,22.68,26.81,03272023_PJ8.xlsx
03312023_NP2,9.226920981,9.48,7.12,10.87,2.58,0.898692098,26.72128065,26.59,25.92,27.98,03312023_NP2.xlsx
03312023_NP3,9.70342246,9.685,8.33,10.72,-0.53,5.482299465,28.19093583,28.09,26.4,29.11,03312023_NP3.xlsx
03312023_NP7,8.63884097,8.63,6.32,10.31,3.4,7.016145553,30.36183288,30.6,28.07,31.86,03312023_NP7.xlsx
03312023_PP3,8.478781726,8.535,6.83,10.15,-0.54,1.824416244,28.29060914,29.795,14.59,30.84,03312023_PP3.xlsx
03312023_PP7,8.164613402,8.14,7.53,8.85,-1.12,8.257603093,29.22876289,29.23,28.9,29.56,03312023_PP7.xlsx
04042023_NP7,8.259375,8.13,6.63,10.66,-1.23,6.919817708,30.70067708,30.845,28.77,31.99,04042023_NP7.xlsx
04042023_PP3,8.335221932,8.24,6.66,10.87,0.2,1.75154047,29.65469974,29.85,27.29,30.73,04042023_PP3.xlsx
04042023_PP7,8.742124352,8.78,8.28,9.18,-0.04,8.202124352,28.94582902,28.95,28.76,29.11,04042023_PP7.xlsx
04072023_NP7,8.968327526,8.77,7.49,11.37,0.72,7.337212544,31.57334495,31.68,30.46,32.02,04072023_NP7.xlsx
04072023_PP3,9.073426573,8.92,7.77,11.45,0.86,1.747517483,29.68597902,29.695,28.67,30.3,04072023_PP3.xlsx
04072023_PP7,9.192682927,9.05,8.78,10.24,1.09,7.586898955,28.96073171,28.97,28.78,29.19,04072023_PP7.xlsx
